arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
fsB_capio,128,20.00,1732363,52298820,14908288,71.4940,192.090,844.000,854.000,1204.000,1204.000,91,4624,91,6,0,0,0
fsB_capio,128,30.00,2597452,78421386,14889336,81.0137,183.095,836.000,844.000,1198.000,1198.000,15,4906,15,3,0,0,0
fsB_capio,256,1.00,46540,1404297,1399359,0.3516,152.981,156.000,156.000,158.000,174.000,21511,1,21511,23,0,0,0
fsB_capio,256,2.00,93080,2808725,2798296,0.3713,152.502,156.000,156.000,158.000,160.000,43023,1,43023,21,0,0,0
fsB_capio,256,3.00,180729,4180821,4164790,0.3834,155.537,280.000,282.000,282.000,284.000,32269,1,32269,28,0,0,0
fsB_capio,256,4.00,184728,5574614,5552823,0.3909,155.404,280.000,282.000,284.000,286.000,43021,1,43021,38,0,0,0
fsB_capio,256,5.00,230781,6968027,6940529,0.3946,169.522,280.000,282.000,284.000,284.000,53773,3,53773,19,0,0,0
fsB_capio,256,6.00,276311,8340247,8306580,0.4037,154.995,178.000,180.000,180.000,188.000,43014,1,43014,24,0,0,0
fsB_capio,256,8.00,368308,11124775,11057129,0.6081,154.085,238.000,240.000,242.000,442.000,57249,7,57249,148,20950,0,0
fsB_capio,256,10.00,459773,13882784,13811945,0.5103,9.136,280.000,282.000,282.000,698.000,53679,13,53679,90,0,0,0
fsB_capio,256,12.00,551328,16646200,14674079,11.8473,166.754,842.000,880.000,884.000,888.000,1301,658,1301,89,0,0,0
fsB_capio,256,15.00,688792,20796387,14667228,29.4722,173.803,174.000,174.000,174.000,174.000,1,3794,1,1,0,0,0
fsB_capio,256,20.00,1203114,27711773,14679559,47.0277,164.898,166.000,166.000,166.000,166.000,2,5540,2,2,0,0,0
fsB_capio,256,30.00,1376095,41568000,14684800,64.6728,164.329,170.000,832.000,832.000,832.000,5,6147,5,5,0,0,0
fsB_capio,512,1.00,23920,723467,720874,0.3584,151.161,156.000,158.000,158.000,162.000,11083,0,11083,10,0,0,0
fsB_capio,512,2.00,47905,1446871,1442273,0.3178,150.479,156.000,158.000,158.000,160.000,22163,1,22163,13,0,0,0
fsB_capio,512,3.00,71890,2170401,2163171,0.3331,150.822,156.000,158.000,158.000,166.000,33244,2,33244,37,0,0,0
