arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
rawA_dpdk_30s,512,45.00,1063667,32111683,32111683,0.0000,32.919,34.000,36.000,36.000,866.000,55427,0,55427,6,0,0,0
rawA_dpdk_30s,512,50.00,1584161,35674359,35671852,0.0070,16.815,56.000,56.000,58.000,866.000,55410,1,55410,8,2507,0,0
rawA_dpdk_30s,512,60.00,1417560,42797813,42797207,0.0014,33.203,56.000,56.000,58.000,870.000,55411,1,55411,14,606,0,0
rawA_dpdk_30s,512,70.00,1653697,49926128,49916379,0.0195,33.127,46.000,46.000,56.000,866.000,59616,3,59616,33,9666,0,0
rawA_dpdk_30s,512,80.00,1889637,57050464,57050242,0.0004,34.266,52.000,52.000,866.000,866.000,59040,0,59040,27,0,0,0
rawA_dpdk_30s,512,90.00,2125613,64173790,64164276,0.0148,5.484,56.000,56.000,870.000,872.000,58517,2,58517,37,9514,0,0
rawA_dpdk_30s,512,100.00,2348805,70588410,70575406,0.0184,34.994,870.000,872.000,880.000,880.000,55086,3,55086,25,13004,0,0
rawB_capio,64,30.00,4777154,92736947,91710938,1.1064,15.488,516.000,522.000,526.000,8192.000,33880,168,33880,275,945690,0,0
rawB_capio,64,35.00,4767048,95206486,94931150,0.2892,162.593,518.000,522.000,524.000,540.000,35384,51,35384,46,191534,0,0
rawB_capio,64,40.00,4772228,95322914,95234521,0.0927,117.905,518.000,522.000,524.000,526.000,35356,35,35356,11,255,0,0
rawB_capio,64,45.00,4773706,95468439,95386743,0.0856,301.925,516.000,522.000,524.000,526.000,35481,31,35481,11,0,0,0
rawB_capio,64,50.00,0,94986503,94606218,0.4004,85.557,520.000,524.000,526.000,546.000,35376,60,35376,43,296144,0,0
rawB_capio,64,60.00,4763948,95216933,95131549,0.0897,383.024,518.000,522.000,524.000,526.000,35503,27,35503,8,989,0,0
rawB_capio,64,70.00,4766146,95243646,94973449,0.2837,15.026,518.000,522.000,524.000,536.000,35353,52,35353,56,181849,0,0
rawB_capio,64,80.00,4354138,77741374,70492765,9.3240,11.938,516.000,522.000,576.000,8192.000,25979,234,25979,438,7182700,0,0
rawB_capio,64,90.00,4754298,94994949,94893121,0.1072,362.850,518.000,524.000,526.000,528.000,35526,29,35526,17,16755,0,0
rawB_capio,64,100.00,6210105,95232610,94854928,0.3966,318.583,518.000,522.000,526.000,532.000,35382,41,35382,47,293130,0,0
rawB_capio,128,30.00,2597498,52281371,52269571,0.0226,13.962,16.000,16.000,18.000,492.000,38606,8,38606,8,10455,0,0
rawB_capio,128,35.00,3030102,60990566,31975565,47.5729,15.047,24.000,24.000,492.000,506.000,20541,2,20541,8,0,0,0
rawB_capio,128,40.00,3462667,69696095,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,45.00,3895383,78399631,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,50.00,4327986,87109998,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,60.00,5193147,104523709,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,70.00,6058259,121940005,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,80.00,6880598,137587298,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,90.00,6880349,137589721,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,128,100.00,6880181,137577862,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,30.00,1376040,27696055,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,35.00,1605063,32304710,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,40.00,2393211,36914664,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,45.00,2063113,41524934,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,50.00,2292225,46136712,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,60.00,2750210,55353406,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,70.00,3208275,64570641,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,80.00,4776450,73791668,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,90.00,4124293,83013832,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,256,100.00,4525782,90521573,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,30.00,709795,14284295,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,35.00,827763,16659278,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,40.00,0,19033732,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,45.00,1063630,21408195,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,50.00,1181624,23783297,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,60.00,1417599,28533402,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,70.00,1653730,33283812,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,80.00,1889641,38073789,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,90.00,2125586,42781168,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio,512,100.00,2348835,46983684,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio_fc0,64,30.00,4674081,148091284,128649880,13.1280,13.062,24.000,32.000,524.000,8192.000,49978,1439,49978,456,5297886,0,0
rawB_capio_fc0,64,35.00,5452656,169669600,130302478,23.2022,14.049,294.000,306.000,526.000,8192.000,16721,12838,16721,648,9285500,0,0
rawB_capio_fc0,64,40.00,6231361,189226056,139378573,26.3428,16.175,294.000,296.000,524.000,4478.000,16425,14699,16425,284,4011005,0,0
rawB_capio_fc0,64,45.00,7010045,212450605,137717426,35.1767,16.420,294.000,298.000,524.000,8192.000,16074,14928,16074,711,5169505,0,0
rawB_capio_fc0,64,50.00,7951684,236203924,137156756,41.9329,12.555,296.000,522.000,526.000,8192.000,17254,13795,17254,790,5563448,0,0
rawB_capio_fc0,64,60.00,8275905,248713076,143176031,42.4333,12.779,522.000,524.000,526.000,570.000,18963,14571,18963,68,183701,0,0
rawB_capio_fc0,64,70.00,10803815,248982643,143057380,42.5432,13.874,524.000,524.000,526.000,530.000,21657,11330,21657,33,121960,0,0
rawB_capio_fc0,64,80.00,8280136,248906718,143532189,42.3349,207.401,522.000,524.000,526.000,526.000,15839,17608,15839,13,24228,0,0
rawB_capio_fc0,64,90.00,8279937,248908190,143706539,42.2652,93.164,522.000,524.000,526.000,526.000,15955,17464,15955,29,2555,0,0
rawB_capio_fc0,64,100.00,8278783,248974961,142736195,42.6705,14.948,524.000,526.000,526.000,530.000,20495,13234,20495,31,287636,0,0
rawB_capio_fc0,256,30.00,1376032,41568012,41548572,0.0468,22.181,398.000,398.000,400.000,558.000,58468,11,58468,111,19440,0,0
rawB_capio_fc0,256,35.00,1605112,48526438,48282609,0.5025,20.584,344.000,346.000,348.000,676.000,57382,34,57382,316,243829,0,0
rawB_capio_fc0,256,40.00,1833970,55462804,54983486,0.8642,20.518,306.000,306.000,314.000,826.000,56756,57,56756,378,479318,0,0
rawB_capio_fc0,256,45.00,2063083,62336412,62013572,0.5179,20.506,274.000,274.000,276.000,558.000,56586,42,56586,264,322840,0,0
rawB_capio_fc0,256,50.00,0,69293556,69068070,0.3254,30.059,248.000,248.000,278.000,636.000,59402,43,59402,395,225486,0,0
rawB_capio_fc0,256,60.00,2750163,83062462,82875333,0.2253,29.815,212.000,212.000,214.000,558.000,58540,17,58540,128,187129,0,0
rawB_capio_fc0,256,70.00,3208247,96858549,96777544,0.0836,27.879,184.000,186.000,556.000,558.000,57847,18,57847,95,81005,0,0
rawB_capio_fc0,256,80.00,4786835,110693453,110674849,0.0168,28.495,166.000,166.000,558.000,558.000,59316,14,59316,46,18604,0,0
rawB_capio_fc0,256,90.00,4124304,124629559,31932276,74.3782,33.897,150.000,558.000,558.000,564.000,14873,4,14873,17,0,0,0
rawB_capio_fc0,256,100.00,4525780,136053905,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio_fc0b,512,30.00,709729,21668249,21557846,0.5095,134.769,556.000,556.000,558.000,1008.000,55293,7,55293,208,110403,0,0
rawB_capio_fc0b,512,35.00,827700,24989287,24977798,0.0460,131.697,480.000,480.000,480.000,988.000,55318,5,55318,112,11489,0,0
rawB_capio_fc0b,512,40.00,945666,28550505,28547648,0.0100,156.723,420.000,420.000,422.000,988.000,55395,1,55395,44,2857,0,0
rawB_capio_fc0b,512,45.00,1063650,32112114,32112114,0.0000,157.220,376.000,378.000,378.000,988.000,55409,0,55409,40,0,0,0
rawB_capio_fc0b,512,50.00,1181619,35674333,29500522,17.3060,156.143,340.000,340.000,342.000,1002.000,45763,2,45763,41,0,0,0
rawB_capio_fc0b,512,60.00,1417614,42834340,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio_r2,128,30.00,3389400,52431091,41535091,20.7816,4.980,32.000,32.000,488.000,544.000,30531,23,30531,165,160196,0,0
rawB_capio_r2,128,35.00,3030124,60989563,0,100.0000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0
rawB_capio_r3,256,30.00,1376060,27700676,27473928,0.8186,4.975,34.000,34.000,44.000,1120.000,38457,37,38457,306,226748,0,0
rawB_capio_r3,256,40.00,1834081,36913295,36908059,0.0142,22.100,34.000,34.000,36.000,462.000,38151,2,38151,19,5081,0,0
rawB_capio_r3,256,50.00,2292206,46140284,45986011,0.3344,5.959,42.000,42.000,46.000,454.000,39586,15,39586,61,154273,0,0
rawB_capio_r3,256,60.00,2750176,55359743,54981251,0.6837,5.580,42.000,42.000,454.000,456.000,38575,30,38575,179,378492,0,0
rawB_capio_r3,256,70.00,3208242,64574802,64562824,0.0185,23.665,40.000,40.000,458.000,462.000,38534,5,38534,18,11853,0,0
rawB_capio_r3,256,80.00,3666369,73793333,73793333,0.0000,24.626,36.000,38.000,454.000,456.000,39477,0,39477,10,0,0,0
rawB_capio_r3,256,90.00,4124285,83015817,82775854,0.2891,22.933,34.000,34.000,464.000,464.000,38907,30,38907,61,239442,0,0
rawB_capio_r3,256,100.00,4525781,90508641,90505996,0.0029,13.893,462.000,462.000,464.000,468.000,39263,1,39263,9,375,0,0
rawB_capio_r3,512,30.00,709782,14284352,14283548,0.0056,5.229,56.000,56.000,56.000,864.000,36861,1,36861,21,804,0,0
rawB_capio_r3,512,40.00,945664,19046872,19046844,0.0001,34.129,56.000,56.000,56.000,888.000,36888,0,36888,20,0,0,0
rawB_capio_r3,512,50.00,1181619,23791885,23782461,0.0396,34.485,56.000,56.000,56.000,866.000,36860,2,36860,15,9399,0,0
rawB_capio_r3,512,60.00,1417597,28531772,28531352,0.0015,33.093,56.000,56.000,220.000,866.000,36860,0,36860,24,397,0,0
rawB_capio_r3,512,70.00,1653723,33283743,33283735,0.0000,33.333,46.000,46.000,876.000,880.000,39647,0,39647,22,0,0,0
rawB_capio_r3,512,80.00,1889662,38032210,38032202,0.0000,33.936,50.000,50.000,888.000,896.000,39250,0,39250,17,0,0,0
rawB_capio_r3,512,90.00,2125594,42781928,42770622,0.0264,33.827,54.000,54.000,888.000,890.000,38876,3,38876,22,11231,0,0
rawB_capio_r3,512,100.00,2348802,46973821,46972436,0.0029,34.468,950.000,1064.000,1080.000,1084.000,36669,0,36669,2,118,0,0
